"Matricula";"Ano";"Turma";"Horario";"Professor";"Codigo_curso";"Curso";"Prova";"Questao";"Acertou";"Nome.questao";"arquivos";"Numero.prova"
190106573;2019;"AB";"08/out";"ROBERTO VILA";"60844";"Engenharia Química";19091800109;4;FALSE;"02_propriedade_probabilidade_08.Rnw";"Solucao_AB_47.pdf";1
190107120;2019;"BA";"10/dez";"JOSE AUGUSTO";"03221";"Ciências Econômicas";19091800154;4;TRUE;"05_variaveis_aleatorias_09.Rnw";"Solucao_BA_29.pdf";1
190128208;2019;"CA";"14-16";"ANDRE LUIZ";"06220";"Engenharia Civil";19091800263;4;FALSE;"06_distribuicao_binomial_04.Rnw";"Solucao_CA_19.pdf";1
190134909;2019;"EA";"18-21";"JHAMES MATOS";"03221";"Ciências Econômicas";19091800511;4;FALSE;"01_medida_probabilidade_06.Rnw";"Solucao_EA_04.pdf";1
190135115;2019;"BA";"10/dez";"JOSE AUGUSTO";"06335";"Engenharia Elétrica";19091800167;4;TRUE;"05_variaveis_aleatorias_09.Rnw";"Solucao_BA_42.pdf";1
190136588;2019;"BA";"10/dez";"JOSE AUGUSTO";"03221";"Ciências Econômicas";19091800165;4;FALSE;"05_variaveis_aleatorias_09.Rnw";"Solucao_BA_40.pdf";1
190137291;2019;"CC";"14-16";"EDUARDO YOSHIO";"01741";"Engenharia de Computação";19091800378;4;FALSE;"07_distribuicao_geometrica_06.Rnw";"Solucao_CC_10.pdf";1
120135949;2012;"EA";"18-21";"JHAMES MATOS";"07609";"Outros";19091800517;5;TRUE;"09_distribuicao_poisson_04.Rnw";"Solucao_EA_10.pdf";1
130046523;2013;"CC";"14-16";"EDUARDO YOSHIO";"01449";"Outros";19091800386;5;TRUE;"04_teorema_Bayes_03.Rnw";"Solucao_CC_18.pdf";1
130055450;2013;"BB";"10/dez";"THAIS CARVALHO";"60844";"Engenharia Química";19091800209;5;FALSE;"09_distribuicao_poisson_03.Rnw";"Solucao_BB_26.pdf";1
130130435;2013;"BA";"10/dez";"JOSE AUGUSTO";"06254";"Engenharia Ambiental";19091800168;5;TRUE;"06_distribuicao_binomial_01.Rnw";"Solucao_BA_43.pdf";1
130142531;2013;"BA";"10/dez";"JOSE AUGUSTO";"01112";"Administração";19091800136;5;TRUE;"06_distribuicao_binomial_01.Rnw";"Solucao_BA_11.pdf";1
140022988;2014;"AA";"08/out";"CIRA ETHEOWALDA";"01368";"Outros";19091800043;5;TRUE;"02_propriedade_probabilidade_05.Rnw";"Solucao_AA_43.pdf";1
140023861;2014;"DA";"16-18";"LUCAS MOREIRA";"06289";"Outros";19091800438;5;FALSE;"04_teorema_Bayes_02.Rnw";"Solucao_DA_10.pdf";1
140023992;2014;"BA";"10/dez";"JOSE AUGUSTO";"06254";"Engenharia Ambiental";19091800155;5;FALSE;"06_distribuicao_binomial_01.Rnw";"Solucao_BA_30.pdf";1
140026291;2014;"CC";"14-16";"EDUARDO YOSHIO";"01449";"Outros";19091800398;5;TRUE;"04_teorema_Bayes_03.Rnw";"Solucao_CC_30.pdf";1
140028536;2014;"CC";"14-16";"EDUARDO YOSHIO";"06335";"Engenharia Elétrica";19091800402;5;FALSE;"04_teorema_Bayes_03.Rnw";"Solucao_CC_34.pdf";1
